Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"EBE-EZI ALOR SQAURE, NJIKOKA, ANAMBRA",6.178444,6.9880335,0,3,0,0,4,5,,,,,
"EBE-EZI ALOR SQAURE, NJIKOKA, ANAMBRA",6.178444,6.9880335,1,4,0,0,4,5,,,,,
"EZIBE-ENWELU SQAURE, NJIKOKA, ANAMBRA",6.178444,6.9880335,0,12,0,0,12,21,,,,,
"OBEAGU EZI NWOBODO SQAURE, NJIKOKA, ANAMBRA",6.178444,6.9880335,0,45,0,0,47,96,,,,,
"MBANAKWU HEALTH CENTRE, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,29,0,0,29,65,,,,,
"OBI NNEWICHI I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,1,202,0,1,206,317,,,,,
"OBI NNEWICHI IV, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,49,0,0,52,85,,,,,
"OBI DIMNANA HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,0,0,0,2,3,,,,,
"OBI DIMNANA HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,9,0,0,2,3,,,,,
"OBI EZUZEE OBIA HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,1,0,0,1,2,,,,,
"OBI UMUICHIE HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,2,0,0,2,10,,,,,
"OBIOFIA COMM. SCHOOL III, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,41,0,0,44,65,,,,,
"OBIOFIA CENTRAL SCHOOL II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,36,0,0,38,61,,,,,
"OBI EZEONUMAEKWU HALL I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,11,0,0,13,16,,,,,
"OBI EZEONUMAEKWU HALL II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,6,0,0,6,10,,,,,
"EZELICHI HALL III, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,18,0,0,18,31,,,,,
"OKPUNO HEALTH CENTRE, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,87,0,0,89,128,,,,,
"OBI OFOKALLE SQUARE II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,1,6,0,0,7,19,,,,,
"OBI OFOKALLE SQUARE III, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,2,0,0,26,45,,,,,
"OBI UMUETI HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,0,0,0,0,2,,,,,
"OBI MBU HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,0,0,0,27,55,,,,,
"ODIDA C/S III, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,83,0,0,22,36,,,,,
"OBI ABUBO HALL I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,83,0,0,85,141,,,,,
"ABUBO HEALTH CENTER I, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,42,1,0,44,78,,,,,
"ABUBO HEALTH CENTER II, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,31,0,0,31,48,,,,,
"OKWUANI CENTRAL SCHOOL III, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,46,0,0,47,69,,,,,
"OKWUANI CENTRAL SCHOOL IV, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,0,0,0,18,42,,,,,
"UMUANUKA HALL II, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,33,0,0,33,348,,,,,
"UMUANUKA WOMEN HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,23,2,0,27,36,,,,,
"AKWUNWEKEDIGBO COMMUNITY SCHOOL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,57,0,0,57,90,,,,,
"OBI UMUEZEAHAGWO HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,1,0,0,1,4,,,,,
"AKWUDO CENTRAL SCHOOL I, NNEWI NORTH, ANAMBRA",6.0049297,6.9303653,0,44,1,0,45,84,,,,,
"AKWUDO CENTRAL SCHOOL II, NNEWI NORTH, ANAMBRA",6.0049297,6.9303653,0,11,0,0,11,19,,,,,
"OKOFIA COMMUNITY HALL, NNEWI NORTH, ANAMBRA",5.969264,6.9436185,0,25,0,0,27,43,,,,,
"OKOFIA COMMUNITY HALL, NNEWI NORTH, ANAMBRA",5.969264,6.9436185,0,5,0,0,27,43,,,,,
"OKOFIA COMMUNITY HALL, NNEWI NORTH, ANAMBRA",5.969264,6.9436185,0,23,0,0,27,43,,,,,
"EZEKWUABOR HALL II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,16,0,0,16,24,,,,,
"EZEKWUABOR HEALTH CENTER, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,13,0,0,15,30,,,,,
"UMUENEM HEALTH CENTER I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,0,0,0,29,37,,,,,
"UMUENEM HEALTH CENTER II, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,9,0,0,9,20,,,,,
"OBI DOGONU HALL I, NNEWI NORTH, ANAMBRA",6.0195429,6.9286566,0,14,0,1,15,18,,,,,
"OBI NSOFOR HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,6,0,0,6,9,,,,,
"OBI UMUENEM EGBU HALL II, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,4,0,0,3,6,,,,,
"OBI OKANUMEE HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,6,0,0,6,7,,,,,
"OBI UMUEZEOKALUM, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,53,0,0,54,85,,,,,
"OBI UMUDIM HALL III, NNEWI NORTH, ANAMBRA",5.9873666,6.9023267,0,10,0,0,11,21,,,,,
"INYABA CENTRAL SCHOOL III, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,7,0,0,7,16,,,,,
"INYABA CENTRAL SCHOOL IV, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,6,0,0,7,10,,,,,
"TOWNSHIP PRIMARY SCHOOL I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,9,2,0,21,50,,,,,
"TOWNSHIP PRIMARY SCHOOL II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,20,0,0,20,41,,,,,
"OBI ODOGWU HALL I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,1,0,0,1,4,,,,,
"OKONGWU MEMORIAL GRAMMAR SCHOOL I, NNEWI NORTH, ANAMBRA",5.9876242,6.9138316,0,29,0,0,29,55,,,,,
"OKONGWU MEMORIAL GRAMMAR SCHOOL II, NNEWI NORTH, ANAMBRA",5.9876242,6.9138316,0,6,0,1,8,11,,,,,
"OKONGWU MEMORIAL GRAMMAR SCHOOL III, NNEWI NORTH, ANAMBRA",5.9876242,6.9138316,0,11,0,0,11,15,,,,,
"INYABA COMMUNITY SCHOOL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,14,0,0,14,19,,,,,
"UGHAJI COMMUNITY HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,60,3,0,65,68,,,,,
"EME COURT IV, NNEWI NORTH, ANAMBRA",6.0002305,6.8872154,0,15,0,0,16,35,,,,,
"OBI UMUELE, NNEWI NORTH, ANAMBRA",5.998364,6.910917,0,32,0,0,34,42,,,,,
"EZEMBA HALL III, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,79,3,0,82,123,,,,,
"EZEMBA HALL IV, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,36,2,0,41,70,,,,,
"EZEMBA HALL IV, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,20,0,0,41,70,,,,,
"EZEMBA HALL VI, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,7,1,0,8,29,,,,,
"OBI UMUDINKWA HALL I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,20,0,0,20,27,,,,,
"OBI UMUDINKWA HALL II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,13,0,0,13,20,,,,,
"OBI UMUNKWAKANWA, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,0,0,0,10,13,,,,,
"OBI UMUHU HALL, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,0,0,0,0,1,,,,,
"OBI AKAMILI, NNEWI NORTH, ANAMBRA",5.9980883,6.8940846,0,15,0,0,15,31,,,,,
"OBIUNO HEALTH CENTRE, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,31,0,1,35,94,,,,,
"OBI EBELEOGO, NNEWI NORTH, ANAMBRA",6.0104671,6.9103433,0,16,0,0,16,49,,,,,
"ORIE URU CENTRAL SCHOOL I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,40,2,0,43,69,,,,,
"ORIE URU CENTRAL SCHOOL II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,38,0,0,39,66,,,,,
"OPEN SPACE AT EKWULU LAYOUT, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,193,11,0,206,332,,,,,
"OBI ONWUAGBAIZU HALL I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,1,39,0,0,41,78,,,,,
"OBI ONWUAGBAIZU HALL II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,1,79,0,1,83,144,,,,,
"OBI CHUKWUELOKA I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,5,0,0,5,10,,,,,
"OBI CHUKWUELOKA II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,4,0,0,4,8,,,,,
"OBI CHUKWUELOKA II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,16,0,0,4,8,,,,,
"OBI IKEGWUONU II, NNEWI NORTH, ANAMBRA",6.0311062,6.9058067,0,14,0,0,14,20,,,,,
"OBI OKONKWO OGUEJIOFOR, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,0,0,0,0,1,,,,,
"AKWUANOZIE COMMUNITY HALL I, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,11,0,0,11,20,,,,,
"AKWUANOZIE COMMUNITY HALL II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,2,0,0,2,7,,,,,
"AKWUANOZIE HEALTH CENTRE II, NNEWI NORTH, ANAMBRA",6.0268977,6.9021321,0,1,0,0,3,4,,,,,
"AKWUEGBO C/S V, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,16,0,0,16,39,,,,,
"NDIEZENWANKWO HEALTH CENTRE I, NNEWI NORTH, ANAMBRA",6.0426,6.9042,0,23,1,0,25,40,,,,,
"NDIEZENWANKWO HEALTH CENTRE II, NNEWI NORTH, ANAMBRA",6.0426,6.9042,0,27,0,0,27,52,,,,,
"OPEN SPACE AT UMUMEAGBU NWAFIA MARKET, NNEWI NORTH, ANAMBRA",6.1880561,7.0220429,0,8,0,0,8,14,,,,,
"OBI UMUMEAGBU II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,3,0,0,3,7,,,,,
"OBI OKENWA EZEAGUDIBIA, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,1,1,0,1,2,,,,,
"OBI EZESIOMA II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,0,0,0,0,1,,,,,
"OBI EZESIOMA II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,2,2,0,0,1,,,,,
"ISU CIVIC CENTRE II, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,8,0,0,8,12,,,,,
"OBI AKABOUKWU, NNEWI NORTH, ANAMBRA",6.0292315,6.8866192,0,29,0,0,30,48,,,,,
"OBI OKPUNO UZODIKE, NNEWI NORTH, ANAMBRA",6.0271064,6.9132946,0,13,0,0,13,33,,,,,
"OBI NWAGBARA SQUARE, NNEWI NORTH, ANAMBRA",6.0136533,6.9101806,0,13,0,0,19,27,,,,,
"IGBO UKWU TOWN HALL, NNEWI NORTH, ANAMBRA",6.0105192,6.9103455,0,27,0,0,27,42,,,,,
"COMMUNITY SECONDARY SCHOOL I, ATANI, OGBARU, ANAMBRA",6.0288083,6.751587,1,83,1,0,89,198,,,,,
"COMMUNITY SECONDARY SCHOOL II, ATANI, OGBARU, ANAMBRA",6.0288083,6.751587,1,41,0,0,43,77,,,,,
"URBAN SCHOOL V ATANI, OGBARU, ANAMBRA",6.0130639,6.7467229,4,63,5,0,73,148,,,,,
"STAFF QUARTERS ATANI, OGBARU, ANAMBRA",6.0130639,6.7467229,0,45,3,0,51,111,,,,,
"CENTRAL SCHOOL ODEKPE III, OGBARU, ANAMBRA",6.0467008,6.7380257,1,50,1,0,52,120,,,,,
"CENTRAL SCHOOL ODEKPE IV, OGBARU, ANAMBRA",6.0467008,6.7380257,0,30,0,0,31,70,,,,,
"CENTRAL SCHOOL ODEKPE IV, OGBARU, ANAMBRA",6.0467008,6.7380257,0,29,1,0,31,70,,,,,
"OKOTI MARKET SQUARE I, OGBARU, ANAMBRA",6.0719434,6.7439815,0,113,0,1,115,224,,,,,
"CPS IYIOWA II, OGBARU, ANAMBRA",6.0576074,6.7601057,4,140,2,0,155,222,,,,,
"CPS IYIOWA III, OGBARU, ANAMBRA",6.0576074,6.7601057,0,92,0,0,97,140,,,,,
"COMMUNITY SECONDARY SCHOOL ODEKPE I, OGBARU, ANAMBRA",6.0655406,6.7431246,85,1,1,1,49,92,,,,,
"COMMUNITY SECONDARY SCHOOL ODEKPE II, OGBARU, ANAMBRA",6.0655406,6.7431246,0,11,0,0,11,28,,,,,
"T. JUNCTION BY IBEKWE STREET, IYIOWA, OGBARU, ANAMBRA",6.1096348,6.7660064,0,141,0,0,148,201,,,,,
"OPEN SPACE BY ARIDON STREET JUNCTION SCHOOL ROAD., OGBARU, ANAMBRA",6.1076919,6.7641548,0,64,2,0,67,111,,,,,
"OPEN SPACE BY DEEPER LIFE JUNCTION,ACHA STREET, IYIOWA., OGBARU, ANAMBRA",6.110039,6.7686861,0,39,0,0,39,60,,,,,
"PRIMARY HEALTH CENTER, OHITA, OGBARU, ANAMBRA",5.9213455,6.7279918,0,62,1,0,71,104,,,,,
"OGBUKWU VILLAGE SQUARE III, OGBARU, ANAMBRA",5.9213455,6.7279918,0,14,0,0,14,19,,,,,
"ENYINWA STREET BY TRANSFORMER,IYIOWA, OGBARU, ANAMBRA",6.0576074,6.7601057,0,67,1,1,73,94,,,,,
"OGBAKUBA HIGH SCHOOL., OGBARU, ANAMBRA",5.9603573,6.7317103,1,17,0,0,17,83,,,,,
"AWALITE STREET JUNCTION BY SCHOOL LANE., OGBARU, ANAMBRA",6.107196,6.7657335,0,8,0,0,10,12,,,,,
"OPEN SPACE ADJACENT PETER VENTURE, OGBARU, ANAMBRA",5.9213455,6.7279918,0,35,0,0,35,70,,,,,
"METURLOGICAL INSTITUTE AUDITORIUM, OGBARU, ANAMBRA",5.9213455,6.7279918,0,21,0,0,21,69,,,,,
"OPEN SPACE BY OGBUAGU STREET., OGBARU, ANAMBRA",5.9213455,6.7279918,0,23,2,0,25,53,,,,,
"OPEN SPACE BY HERO JUNCTION., OGBARU, ANAMBRA",5.9213455,6.7279918,0,34,0,0,34,94,,,,,
"OPEN SPACE BY SINGOZ SHOE, OGBARU, ANAMBRA",6.2208997,6.9369559,0,16,0,0,17,29,,,,,
"OPEN SPACE OPPOSITE EJINKEONYE JUNCTION., OGBARU, ANAMBRA",5.9213455,6.7279918,0,19,0,0,20,38,,,,,
"OPEN SPACE BY UKONU JUNCTION OKPOKO, OGBARU, ANAMBRA",6.1209717,6.7708852,0,0,0,0,65,87,,,,,
"OPEN SPACE BY NKWUBUEGO, OGBARU, ANAMBRA",6.1248823,6.7707435,0,23,0,0,23,36,,,,,
"OPEN SPACE BY AGUATA ANIAGU JUNCTION,, OGBARU, ANAMBRA",6.0085842,7.1009488,0,35,1,0,38,75,,,,,
"OGBARU MAIN MARKET FIRST GATE, OGBARU, ANAMBRA",5.9213455,6.7279918,0,24,0,0,24,60,,,,,
"OPEN SPACE OPPOSITE PLAZA GUEST HOUSE., OGBARU, ANAMBRA",5.9213455,6.7279918,0,35,1,0,42,62,,,,,
"CIVIC CENTER I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,30,0,1,31,51,,,,,
"CIVIC CENTER II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,34,0,0,35,62,,,,,
"OGBARU MAIN MARKET GARAGE, OGBARU, ANAMBRA",5.9213455,6.7279918,0,76,0,0,76,126,,,,,
"OGBARU MAIN MARKET OPPOSITE ZENITH BANK, OGBARU, ANAMBRA",6.1508895,6.7748298,0,20,0,0,21,36,,,,,
"P.T. LINE, OGBARU MAIN MARKET., OGBARU, ANAMBRA",5.9213455,6.7279918,0,23,1,0,25,36,,,,,
"OPEN SPACE ADJACENT, FESTAC., OGBARU, ANAMBRA",6.2208997,6.9369559,0,68,0,0,70,122,,,,,
"EEDC OFFICE, OGBARU, ANAMBRA",5.9213455,6.7279918,0,8,0,0,8,16,,,,,
"OPEN SPACE BY ELEPHANT HOUSE., OGBARU, ANAMBRA",5.9213455,6.7279918,0,27,0,0,28,65,,,,,
"CPS MPUTU II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,34,0,0,34,132,,,,,
"OPEN SPACE BESIDE C.P.S. QUARTERS, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,28,0,0,30,41,,,,,
"OPEN SPACE BESIDE 19 ENUGU ROAD/ MBANEFO STREET, ONITSHA-NORTH, ANAMBRA",6.1554693,6.7874912,0,23,0,0,23,54,,,,,
"OPEN SPACE BESIDE 2 ANAZONWU OPEN SPACE, ONITSHA-NORTH, ANAMBRA",6.1541265,6.7867667,0,13,0,0,13,18,,,,,
"OPEN SPACE BESIDE 1 ARINZE LANE, ONITSHA-NORTH, ANAMBRA",6.1346294,6.7908421,0,16,0,0,16,52,,,,,
"OPEN SPACE BESIDE 1 NWOSISI LANE, ONITSHA-NORTH, ANAMBRA",6.1565454,6.7813037,0,22,1,0,25,40,,,,,
"OPEN SPACE BESIDE O'CONOR JUNCTION/23 NEW AMERICAN RD, ONITSHA-NORTH, ANAMBRA",6.1546314,6.7877801,0,18,0,0,20,58,,,,,
"OPEN SPACE BESIDE 9 OZALLA ROAD, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,18,0,0,18,52,,,,,
"OPEN SPACE BESIDE 23 ORANYE STREET, ONITSHA-NORTH, ANAMBRA",6.1559495,6.7843726,0,8,0,0,8,12,,,,,
"OPEN SPACE BESIDE 23 ORANYE STREET, ONITSHA-NORTH, ANAMBRA",6.1559495,6.7843726,1,98,0,1,8,12,,,,,
"OPEN SPACE BESIDE 23 ORANYE STREET, ONITSHA-NORTH, ANAMBRA",6.1559495,6.7843726,0,14,0,0,8,12,,,,,
"OPEN SPACE BESIDE 23 ORANYE STREET, ONITSHA-NORTH, ANAMBRA",6.1559495,6.7843726,0,21,1,0,8,12,,,,,
"OPEN SPACE BESIDE ONWUGBENU CRESENT/AHAONU CLOSE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,21,1,0,22,30,,,,,
"OPEN SPACE BESIDE NO 3 ORAKWUE STREET, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,11,0,0,11,16,,,,,
"OPEN SPACE BESIDE NO. 28 AWKA ROAD OPPOSITE GUNNINESS HOSPITAL, ONITSHA-NORTH, ANAMBRA",6.1510661,6.802341,0,17,0,0,17,38,,,,,
"OPEN SPACE BESIDE ONUILO FIELD, MBA ROAD, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,40,6,0,46,68,,,,,
"OPEN SPACE BESIDE MGBELEKEKE FIELD, UGWUNOBANKPA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,8,0,0,8,12,,,,,
"OPEN SPACE BESIDE NO. 5 OKOSI RD/ST. STEPHEN RD, ONITSHA-NORTH, ANAMBRA",6.1499176,6.7953587,0,33,0,0,36,55,,,,,
"OPEN SPACE BEIDE NO. II MGBEDEME VILLAGE SQUARE/ BISHOP ONYEABO STR., ONITSHA-NORTH, ANAMBRA",6.1510952,6.7988641,0,5,0,0,6,9,,,,,
"OPEN SPACE BESIDE BISHOP ONYEABO OPPOSITE EZICHIMMA PRIMARY SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1510952,6.7988641,0,23,0,0,23,31,,,,,
"METROPOLITAN SEC. SCHOOL II (GLO BLOCK), ONITSHA-NORTH, ANAMBRA",6.1514596,6.7837696,0,22,1,0,23,40,,,,,
"OPEN SPACE BESIDE NO. 1 CHUKWUMA LANE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,3,0,0,3,7,,,,,
"OPEN SPACE BESIDE NO. 3 IBEGBU STREET, OPPOSITE ILO UTO, UMUASE, ONITSHA-NORTH, ANAMBRA",6.1564089,6.7804312,0,3,0,0,3,4,,,,,
"OPEN SPACE BESIDE OGBENDIDA VILLAGE SQUARE, UKWU MGWULUNGWU, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,8,0,0,12,13,,,,,
"OPEN SPACE BESIDE NO. 9 OJIBA/ABUTU LANE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,5,0,0,5,9,,,,,
"OPEN SPACE BESIDE NO. 11 EZINIFITE STREET, BESIDE FISH CENTER, ONITSHA-NORTH, ANAMBRA",6.1472141,6.8049579,1,126,0,0,128,168,,,,,
"OPEN SPACE BESIDE NO. 27 ISIOKWE MARKET SQUARE, ONITSHA-NORTH, ANAMBRA",6.1435496,6.8014394,0,51,3,0,54,97,,,,,
"OPEN SPACE BESIDE NO. 2 ADUBA STREET, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,26,0,0,31,44,,,,,
"OPEN SPACE BESIDE 16 NEW CEMETRY ROAD OPP. MECHANIC SHOP, ONITSHA-NORTH, ANAMBRA",6.1325708,6.8011685,0,26,1,1,30,42,,,,,
"OPEN SPACE BESIDE NO. 4 ONI STREET BESIDE MTN MASK, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,14,0,0,14,21,,,,,
"OPEN SPACE BESIDE OGBEOYE MARKET SQUARE, ONITSHA-NORTH, ANAMBRA",6.1487635,6.8003363,0,85,0,0,85,135,,,,,
"OPEN SPACE BESIDE NO. 25 EMMANUEL CHURCH ROAD, ONITSHA-NORTH, ANAMBRA",6.1491691,6.7995063,0,81,0,0,89,125,,,,,
"OPEN SPACE BESIDE OJIBA STREET JUNCTION/UGWUNOBANKPA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,52,3,0,60,87,,,,,
"OPEN SPACE BESIDE NO. 4 OGBOLI RD OPEN SPACE, ONITSHA-NORTH, ANAMBRA",6.1497788,6.8019004,0,29,0,0,31,46,,,,,
"OPEN SPACE BESIDE NO. 60 IBEKWE STREET OPP. PAXS, ONITSHA-NORTH, ANAMBRA",6.1466662,6.8032118,0,22,0,0,22,37,,,,,
"OPEN SPACE BESIDE NO. 1 JUSTICE ARAKA OJUDO LANE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,67,0,0,69,108,,,,,
"OPEN SPACE BESIDE NO. 127 UGWUNOBANKPA/AWKA ROAD, ONITSHA-NORTH, ANAMBRA",6.1512446,6.8022263,0,17,0,0,18,27,,,,,
"OPEN SPACE BESIDE NO. 38 ST. STEPHEN ROAD, BACK OF WASHINGTON, ONITSHA-NORTH, ANAMBRA",47.7510741,-120.7401386,1,85,0,0,24,41,,,,,
"OPEN SPACE BESIDE NO. 204 AWKA ROAD, OPPOSITE ACHUKWU, ONITSHA-NORTH, ANAMBRA",6.1476704,6.80797,0,15,0,0,15,39,,,,,
"OPEN SPACE BESIDE NKISI AROLI LANE OPP. TRANSFORMER, ONITSHA-NORTH, ANAMBRA",6.1555003,6.8021445,0,31,1,0,34,50,,,,,
"OPEN SPACE BESIDE JIDEOFOR NZEGWU STREET/OCHOD JUNCTION, ONITSHA-NORTH, ANAMBRA",6.1494419,6.809868,0,36,0,0,36,45,,,,,
"OPEN SPACE BESIDE NO. 2 AKUNNE OSEMEKA STR. OPP. ENWEONWU LANE, ONITSHA-NORTH, ANAMBRA",6.1564917,6.8008504,0,20,2,0,22,31,,,,,
"OPEN SPACE BESIDE WATER WORKS SECOND GATE, ONITSHA-NORTH, ANAMBRA",6.1515146,6.8114166,0,15,4,0,20,29,,,,,
"G.T.C. ONITSHA, ONITSHA-NORTH, ANAMBRA",6.1597875,6.7986679,0,1,0,0,1,4,,,,,
"OPEN SPACE BESIDE OSUMA STREET/ODUGWU OBOLI JUNCTION, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,128,1,1,133,211,,,,,
"ST. CHARLES COLLEGE, BLOCK B, ONITSHA-NORTH, ANAMBRA",6.152934,6.8013847,0,13,0,0,14,21,,,,,
"OPEN SPACE BESIDE NO. 3 CHUKWURAH STREET OPEN SPACE, ONITSHA-NORTH, ANAMBRA",6.1525189,6.8037823,0,6,0,0,6,13,,,,,
"OPEN SPACE BESIDE PRINCESS NJIDEKA NDIWE DRIVE BESIDE GREENFIELD SCH., ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,0,5,0,5,6,,,,,
"OPEN SPACE BESIDE NO. 8 ENWEONWU LANE, TRANSFORMER SPOT, ONITSHA-NORTH, ANAMBRA",6.1559626,6.8004997,0,17,0,0,17,29,,,,,
"OPEN SPACE BESIDE NO. 6 IFENU STREET BESIDE STELLA MARIS INT'L PRI. SCH, ONITSHA-NORTH, ANAMBRA",6.1511583,6.8035122,0,6,0,1,8,12,,,,,
"OPEN SPACE BESIDE LIMCA ROAD ALL HALLOWS SEMINARY SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1457417,6.8151829,0,21,0,0,21,29,,,,,
"OPEN SPACE BESIDE NO. 9 LIMICA ROAD OPP. ANYAEGBUNAM IND. EST., ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,10,0,0,10,18,,,,,
"OPEN SPACE BESIDE NAOWA SECRETARIAT/MILITARY CANTONMENT ONITSHA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,39,2,2,48,88,,,,,
"OPEN SPACE BESIDE NO. 7 ILODIBE SERVICE LANE, AWADA ONITSHA, ONITSHA-NORTH, ANAMBRA",6.1361677,6.79819,1,73,0,2,77,101,,,,,
"OPEN SPACE BESIDE NO. 2 UDOJI/UTUH STREET, AWADA ONITSHA, ONITSHA-NORTH, ANAMBRA",6.1254406,6.8083063,0,34,0,0,34,60,,,,,
"OPEN SPACE BESIDE KOKA PETROLEUM AREA II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,109,0,1,112,143,,,,,
"OPEN SPACE BESIDE 22 SILVER ADIBE CRESCENT AWADA, ONITSHA-NORTH, ANAMBRA",6.1254406,6.8083063,0,8,0,0,8,12,,,,,
"OPEN SPACE BESIDE 89 ORAIFITE/EKWULUMMIRI, ONITSHA-NORTH, ANAMBRA",6.1263337,6.8043929,0,84,0,0,84,118,,,,,
"ARMY DAY SECONDARY SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1340334,6.8097109,22,155,24,4,217,504,,,,,
"OPEN SPACE BESIDE SLAUGHTER ARMY BARRACKS, ONITSHA-NORTH, ANAMBRA",6.1281081,6.8056276,5,42,6,0,61,111,,,,,
