Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"TOWN SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,131,2,2,138,495,,,,,
"OBIGBO C.S, AGUATA, ANAMBRA",6.0044402,7.0181304,0,81,2,0,84,237,,,,,
"UMUNONO HALL, AGUATA, ANAMBRA",6.1819033,7.0641674,0,98,0,0,106,394,,,,,
"OGWUGWUAGU PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,78,0,1,84,229,,,,,
"TOWN HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,89,2,2,94,321,,,,,
"G. S. S. IGBO UKWU II, AGUATA, ANAMBRA",6.0122865,7.0175879,1,78,0,1,102,418,,,,,
"IHITE PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,76,0,0,80,273,,,,,
"IHITE PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,100,0,0,104,317,,,,,
"UMUDEGE CIVIC CENTRE I, AGUATA, ANAMBRA",6.0017432,7.0291043,3,167,1,3,187,517,,,,,
"UMUDEGE CIVIC CENTRE II, AGUATA, ANAMBRA",6.0017432,7.0291043,3,116,0,5,129,310,,,,,
"ETITINABO HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,159,2,2,168,646,,,,,
"ETITINABO HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,76,1,0,79,176,,,,,
"UNION PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,96,0,1,100,342,,,,,
"ETITI HALL I, AGUATA, ANAMBRA",6.0122865,7.0175879,0,140,0,0,146,572,,,,,
"ETITI HALL II, AGUATA, ANAMBRA",6.0122865,7.0175879,1,98,0,0,105,526,,,,,
"IHUAKABA HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,178,0,0,182,621,,,,,
"IHUAKABA HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,188,2,2,166,565,,,,,
"UDOAKWARI HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,90,1,0,92,265,,,,,
